 Chosen one!, ¡Elegida!
"(You see a slot machine. Its strong, rugged frame and golden handle gleam like a sun god beneath New Reno's lights. Its coin slot beckons you seductively, and you feel your thighs burn with anticipation. As you stare at it, suddenly a heavy male voice whispers from the coin slot.) *Ain't seen a pretty woman like you around before, miss. You looking to take a chance?*","(Ves una máquina tragaperras. Su fuerte y dura carcasa y su dorada palanca resplandecen seductoramente bajo las luces de Nuevo Reno. Su ranura para monedas te atrae, y sientes que tus muslos arden por las expectativas. Al acercarte, surge de repente el susurro de una fuerte voz masculina desde la ranura para las monedas). *No había visto antes por aquí a una mujer tan hermosa como tú. ¿Quieres una oportunidad?*"
"(mumble, mumble) ...goody two shoes type here... (mumble)",(Murmurando) ...una buenaza por aquí...
(quietly) You must be lost then. This is the base commander's office. Nobody's allowed here unless the old man sends for you.,(tranquilamente) Debes haberte perdida. Esta es la oficina del comandante de la base. No se permite estar aquí a nadie a menos que el viejo te llame.
"(sigh) Pay attention. Concentrate. Look me in the eyes. Now, are you ready?","(suspira) Presta atención. Concéntrate. Mírame a los ojos. Ahora, ¿estás preparada?"
(speaking into radio) Alert! We got an intruder at the station! Alert!,(hablando por la radio) ¡Alerta! ¡Tenemos a una intrusa en la estación! ¡Alerta!
"(speaking to self) Commander. Cleaning detail is here, sir. (pause) Yes, sir. (looking at you) Go on in.","(hablando para sí mismo) Comandante. La de la limpieza está aquí, señor. (pausa) Sí, señor. (mirándote) Entra."
"*Come on now loser, don't give up on me*","*Venga, perdedora, no me dejes ahora*."
"*Course we can, sugah, course we can.* (The slot machine looks sympathetic.) *What's troubling you, handsome?*","*Claro que podemos, dulzura, claro que podemos*. (La máquina tragaperras parece comprensiva). *¿Qué problema tienes, guapo?*"
"*Course we can, sweetheart, course we can.* (The slot machine looks sympathetic.) *What's troubling your pretty little head?*","*Claro que podemos, cariño, claro que podemos*. (La máquina tragaperras parece comprensiva). *¿Qué problema ronda tu preciosa cabecita?*"
"*Hello there, beautiful.*","*Hola, preciosa.*"
"*Hey there, beautiful. Come play me for a second.*","*Hola, preciosa. Ven un segundo a jugar conmigo.*"
*Hrkkkk*...fucker just scalped me...,*Hrkkkk*... lal cabrona acaba de arrancarme el cuero cabelludo...
*Nfff*...another...damn arm wound...,*Nfff*... otra... maldita herida en el brazo...
*Well ain't you a pretty lil' thing. Why don't you come play me?*,*Qué cosita más preciosa. ¿Por qué no vienes a jugar conmigo?*
*YOU*?! THE CHOSEN ONE?!,¡¿*TÚ*?! ¿LA ELEGIDA?
"*You going be all right, sugah? Ah don't feel comfortable letting you go out alone when you're like this.*","*¿Estarás bien, dulzura? No me siento cómoda dejándote ir sólo cuando estás así.*"
", aincha? Yer good in the ring, best I ever seen in these parts.",", ¿verdad? Eres buena sobre el ring, la mejor que he visto por aquí."
", our hero friend, have we got a deal for you!",", nuestra amiga y heroína, tenemos un trato para ti!"
", the Chosen One. I'm looking for Vault 13.",", la Elegida. Estoy buscando el Refugio 13."
", you are sooooo handsome.",", eres taaaaan guapa."
", you are the BEST. The BEST.",", eres la MEJOR. LA MEJOR."
", you are the best boxing champion I've ever seen.",", eres la mejor campeona de boxeo que haya visto."
", you are the man!",", eres la elegida!"
". Help you wit somthin', champ?",". ¿Te ayudamos en algo, campeona?"
. I am the Captain of the Guard.,. Soy la capitán de la guardia.
. Me new here.,. Aquí soy nueva.
. Pleased to meet you.,. Encantada de conocerte.
". Well... You've certainly come a long way from the simple tribesman. You should visit our New California Republic office some time. You might find it rewarding. Now, if you'll excuse me...",". Bueno... ciertamente has recorrido un largo camino para una simple tribal. Deberías visitar alguna vez nuestra oficina en la República de Nueva California. Podría resultarte gratificante. Ahora, si me perdonas..."
"15% chance of designated ""Chosen One"" succeeding in task.","15% de probabilidad de que la designada como ""Elegida"" tenga éxito en su tarea."
"::Holds up fake gun:: Reach for the skies, varmit!","::Levanta un arma de juguete:: ¡Arriba las manos, bribona!"
::his voice hardens:: Then I see no reason you should be admitted here. Good day.,::su voz se endurece:: Entonces no veo razón por la que deberías ser admitida aquí. Buenos días.
"? You're vicious. You got the MOVES, hombre.","? Eres despiadada. Sabes MOVERTE, muchacha."
"? You're vicious. You got the MOVES, homes.","? Eres despiadada. Vaya si sabes cómo MOVERTE, compañera."
"A Citizen, huh? Let me see your papers.","Una Ciudadana, ¿eh? Déjame ver tus documentos."
"A blessing on you, for you are truly a child of nature. Would you please use your special talents and rid my garden of the plants of dark soul?","Bendito seas, porque en verdad eres una hija de la naturaleza. ¿Podrías por favor usar tus talentos especiales y librar a mi huerto de las plantas de alma impía?"
"A job, huh? Well then, I AM a fluffer. The best fluffer in the business.","Un trabajo, ¿eh? De acuerdo entonces, SOY una entonadora. La mejor entonadora del mercado."
"A little slower, but a little bigger.  You may not hit as often, but they will feel it when you do!  Your total action points are lowered, but your Strength is increased.","Más lenta, pero más grandullona. No acertarás a menudo, pero cuando lo hagas les dolerá. Tus puntos de acción totales disminuyen, pero aumenta tu Fuerza."
"A real horse trader you are. Fine, see Gunther. He'll handle the arrangements.","Eres una verdadera regateadora. De acuerdo, habla con Gunther. Él hará los arreglos."
"A round for everyone. My, my - aren't you a generous one? That'll be $30.","Una ronda para todos. Vaya, vaya... eres generosa, ¿eh? Serán 30 dólares."
A slaver! Get out of here before I remove that tattoo of yours with a bullet!,¡Una esclavista! Sal de aquí antes de que te borre ese tatuaje con una bala!
"A television dinner. You're not sure, but it's definitely not edible. You're not quite sure if it ever was.","No estás segura, pero seguramente no es comestible. No estás totalmente segura de si alguna vez lo fue."
"A thief? I resemble that remark, you damn ingrate! I'm leaving. Goodbye.","¿Una ladrona? Ese comentario me ofende, maldito ingrato. Me voy. Adiós."
"A thief? I resemble that remark, you damn ingrate. I'm leaving. Goodbye.",¿Una matona? ¿Eso te parezco? Maldito ingrato. Me voy. Adiós.
"A tough one, eh? You'll fight my men first, and then we'll see if you're worthy of fighting me.","Una tipa dura, ¿eh? Primero lucharás con mis hombres, y entonces veremos si mereces pelear conmigo."
A traitor to your own people!,¡Una traidora a su propio pueblo!
"A visitor - how convenient. I've been contemplating on a way to make contact with the surfacers,
 but now I don't have to worry about that -- thanks to your timely arrival. Welcome to the home of the
 Slags.","Un visitante... qué conveniente. He estado pensando en una forma de contactar con la gente de la superficie, pero ahora ya no tengo que preocuparme por ello... gracias a tu oportuna llegada. Bienvenida al hogar de los Escorias."
A-gin?,¿N-nueva?
ADDICT,ADICTA
Absolutely sure. I don't want to be monkeyed with by your machines.,Absolutamente segura. No quiero que me toqueteéis con vuestras máquinas.
Accepted,Aceptada
Accessing...yet again...persistent little cuss aren't you? ... Enclave Station Access denied.,"Accediendo... otra vez... eres una cabróna persistente, ¿eh? ... Acceso a estación Enclave denegado."
Action Boy,Mujer de acción
"Actually, I was interested in something else...","En realidad, estaba interesada en otra cosa..."
"Actually, I'm here to warn you. I saw some Bugmen just on the other side of that rock. As a
 friend, I'll watch the moo-moos for you, while you run for help.","He venido a avisarte. He visto algunos hombres bicho al otro lado de esas rocas. Como amiga, me quedaré aquí vigilando tus mu-mus mientras tú vas a buscar ayuda."
"Actually, I'm here to warn you. I saw some bugmen just on the other side of that rock. As a
 friend, I'll watch the moo-moos for you, while you run for help.","Pues he venido para avisarte. He visto algunos hombres bicho al otro lado de esas rocas. Como amiga, me quedaré aquí vigilando tus mu-mus mientras tú vas a buscar ayuda."
"Actually, I'm the new Captain of the Guard.","En realidad, soy la nueva capitán de la Guardia."
"Advice? Well, advice's expensive, Outsider. You got any money?","¿Un consejo? Bien, los consejos son caros, forastera. ¿Tienes dinero?"
"After you, Citizen.","Después de ti, Ciudadana."
"Ah! Welcome again, fellow seeker of truth! How can I help you this day?","¡Ah! ¡Bienvenida de nuevo, compañera buscadora de la verdad! ¿Cómo puedo ayudarte en este día?"
"Ah, Chosen, my garden is well- how is yours?","Ah, Elegida, mi huerto está bien. ¿Cómo está el tuyo?"
"Ah, I see. You must be new in town. Well, I tell you what. I'll make a special bet for you during tomorrow's fights. Would you like me to do that for you?","Ah, ya veo. Debes de ser nueva en la ciudad. Vale, te diré qué haremos. Te haré una apuesta especial durante los combates de mañana. ¿Quieres que lo haga por ti?"
"Ah, a bloodthirsty one. Well... Talk to the boss. We might have a place for ya. Go through the back door.","Ah, una sedienta de sangre. Bien... habla con el jefe. Puede que tengamos sitio para ti. Cruza la puerta del fondo."
"Ah, a little short on funds these days?","Ah, ¿un poco corta de fondos en estos tiempos?"
"Ah, a traveler. Be welcome to my humble tent. Take shade from the unending heat of the land.","Ah, una viajera. Sé bienvenida a mi humilde tienda. Ven a la sombra y cobíjate del interminable calor de la tierra."
"Ah, a warrior. I shall pit you against my men to see how well you fare. Let us begin.","Ah, una guerrera. Te enfrentaré a mis hombres para ver cómo te portas. Empecemos."
"Ah, child, how could you stray from the path of truth like this? I see from your aura that you plan to kill me. I am bitterly disappointed. Bitterly. Ah well. Let us proceed.","Ah, hija, ¿cómo has podido desviarte del camino de la verdad de esta manera? Veo en tu aura que planeas matarme. Estoy amargamente decepcionado. Muy amargamente. Ah, en fin. Hagámoslo."
"Ah, dinner's arrived.",La cena está lista.
"Ah, poor child. Would you like to be aligned?","Ah, pobre muchacha. ¿Te gustaría ser alineada?"
"Ahh, ain't you cute.  I just don't have time to try understanding ya right now.","Ahh, qué graciosa. Pero no tengo tiempo para intentar entenderte ahora mismo."
"Ahh, traveler, I cannot help you. Perhaps you can find the answer to your quest in another way. Good day.","Ahh, viajera, no puedo ayudarte. Tal vez puedes encontrar la respuesta a tu búsqueda de otra forma. Buenos días."
Ahhhgh! Miserable human! I am blind!,¡Ahhhgh! ¡Miserable humana! ¡Estoy ciego!
Aiee! Guards! The lao wai intruder is here!,¡Aaah! ¡Guardias! ¡La lao wai intrusa está aquí!
Aligned Hub Seeker. You are obviously not Enlightened.,AHS: Buscador Alineado del Eje. Obviamente no eres una Iluminada.
"All right then, I'm good to go. Let's do it.","Muy bien, pues estoy lista. Vamos allá."
"All right! All right! Let's do this, people! Come on! Look alive! You ready?","¡Bien! ¡Bien! ¡Vamos a hacerlo, gente! ¡Venga! ¡Muévete! ¡Estás lista?"
"All right, brother, all right! ","¡Está bien, hermana, está bien! "
"All right, it looks like you're clean. You can head on in.","Muy bien, parece que estás limpia. Puedes entrar."
"All right, sister, all right! ","¡Está bien, hermana, está bien! "
"All systems are functioning at full capacity, master.","Todos los sistemas funcionando a capacidad total, ama."
"All things considered, I'm probably safer with the guards. Goodbye.","Considerándolo bien, es posible que esté más segura con los guardias. Adiós."
All were dead or taken. My spirit returned to flesh only to reveal the truth to the Chosen.,Todos fueron muertos o capturados. Mi espíritu volvió a la carne sólo para revelar la verdad a la Elegida.
"Almost perfect condition, Boss.","Estoy casi en perfectas condiciones, Jefa."
"Always glad to make some extra money. Thanks, and goodbye.","Siempre alegra conseguir algo de dinero extra. Gracias, y adiós."
"An electronic security key, color coded yellow.","Una tarjeta electrónica de seguridad, de color amarillo."
An intruder! Aieeeeee! Guards!,¡Una intrusa! ¡Aaaaah! ¡Guardias!
An intruder! Guards! Guards!,¡Una intrusa! ¡Guardias! ¡Guardias!
Analysis. Target erred in tactical selection. Unit undamaged,Análisis. El blanco falló en el proceso táctico de ataque. Unidad no dañada.
"And I was just thinking how bored I am. Thanks, stranger.","Y sólo estaba pensando en lo aburrido que estoy. Gracias, forastera."
And dead.,Y muerta.
And they're gonna say you were a dumb ass. Boys-,Y van a decir que eras una tonta del culo. Muchachos...
"And to you as well, Chosen One. May the spirits guide you on your quest.","Y tú también, Elegida. Que los espíritus te guíen en tu búsqueda."
"And you're a good Citizen, I'm sure. I want you to take this holodisk back to the 1st Citizen. It's important. It has the information she needs to expose this NCR-New Reno plan.","Y eres una buena Ciudadana, estoy seguro. Quiero que lleves de vuelta este holodisco a la Primer Ciudadano. Es importante. Tiene la información que necesita para exponer el plan RNC-Nuevo Reno."
Another Chosen One to kill!,¡Otra Elegida para matar!
Another escapee from the Ministry of Silly Walks.,Otra fugada del Ministerio de los Andares Tontos.
Antipathy,Antipática
"Anyone bothers you, sir, let us know.","Si alguien le molesta, señora, háganoslo saber."
"Anything I could help you with, Citizen?","¿Puedo ayudarte en algo, Ciudadana?"
"Anything else, friend?","¿Algo más, amiga?"
"Anything we can do for you, citizen?","¿Hay algo que pueda hacer por ti, Ciudadana?"
"Anything wrong, sir?","¿Algo va mal, señora?"
"Anything you need, sir?","¿Necesita algo, señora?"
"Apology accepted, human. Have a nice day!","Disculpas aceptadas, humana. ¡Que tengas un buen día!"
Are those test results you have on that clipboard? Can I see them? I'm something of a researcher myself.,¿Son resultados de pruebas lo que tienes en ese portapapeles? ¿Puedo verlos? Yo soy una especie de investigadora.
"Are you a Ranger, too?",¿También eres una Ranger?
Are you a cannibal?,¿Es usted una caníbal?
Are you authorized to be in here?,¿Estás autorizada para estar aquí?
"Are you calling me a fool? I don't think I want to help you, after all. ","¿Me estás llamando necia? Después de todo, no creo que vaya a ayudarte."
"Are you certain? That doesn't sound like Dr. Troy at all. Still... he HAS been working hard lately... no, no, that's impossible. You must be mistaken.","¿Estás segura? Eso no parece propio del doctor Troy. Aunque... ha estado trabajando duro últimamente... no, no, es imposible. Debes estar equivocada."
"Are you crazy? They're on to us. I'm here to warn you not to go through with it. I bet they're
 watching us right now.",¿Estás loca? Lo saben todo. Estoy aquí para avisaros de que no sigáis con el plan. Apuesto a que nos están vigilando.
"Are you dumb or what? Hah, hah, hah. You look just like a Vault City person.","¿Eres tonta o qué? Ja, ja, ja. Te pareces a uno de esos de Ciudad Refugio."
Are you getting into the business? Welcome aboard.,¿Te vas a meter en el negocio? Bienvenida a bordo.
"Are you having difficulties, Chosen One? You must not fail us - please hurry.","¿Tienes dificultades, Elegida? No nos falles... por favor, apresúrate."
"Are you just pretending to be dumb, or are you really that stupid?","¿Pretendes hacerte el idiota, o es que realmente eres estúpida?"
Are you married?,¿Estás casada?
Are you my new master?,¿Eres tú mi nueva ama?
Are you new here? I don't recall seeing you before.,¿Eres nueva aquí? No recuerdo haberte visto antes.
Are you nuts to walk around here out of uniform? Get suited up!,"¿Estás tonta, andando por aquí sin uniforme? ¡Ve a vestirte!"
"Are you nuts, walking around here out of uniform? Get suited up!","¿Estás tonta, andando por aquí sin uniforme? ¡Vístete!"
Are you nuts? Walking around here out of uniform? Get suited up!,¿Estás loca? ¿Andando por aquí sin el uniforme? ¡Ve a vestirte ahora mismo!
"Are you okay, sir? Drinking all that ""alcohol-Z"" looks like it has had some sort of effect on you. Are you sure you want more?","¿Está bien, señorita? Beber todo ese ""alcohol-Z"" parece que le ha producido algún tipo de efecto. ¿Está seguro de que quiere más?"
Are you one of the janitors?,¿Eres una de las empleadas de la limpieza?
"Are you ready for your challenge, ","¿Estás preparada para tu desafío, "
Are you ready to accept Renewal and wear my Ankh Talisman?,¿Estás lista para aceptar la Renovación y llevar mi talismán Ankh?
Are you ready to become one of us?,¿Estás preparada para convertirte en uno de nosotros?
Are you sick?,¿Estás enferma?
Are you slow in the head? I'm Buck Dunton.,"¿Eres un poquito retrasada, no? Soy Buck Dunton."
Are you slow in the head? I'm Chuck Dunton.,"¿Eres un poco retrasada, no? Soy Chuck Dunton."
"Are you sure you're not interested in making some money? I'm quite sure you'd be able to solve
 my problem quite easily.",¿Estás segura de que no quieres ganar algo de dinero? Estoy seguro de que podrías solucionar mi problemilla con bastante facilidad.
"Are you that stupid? You think I'm just gonna hire anybody? You work for me, you got to prove you're good for something.","¿Eres así de estúpida? ¿Crees que simplemente voy a contratar a cualquiera? Para trabajar para mí, tienes que demostrar que eres buena para algo."
Aren't you chivalrous.,No eres una dama.
"Aren't you just as stupid as they get? Hah, hah, hah.","¿Eres la más estúpida que pudieron conseguir? Ja, ja, ja."
Argghhh! Sonuvabitch...,¡Argghhh! Hijaputa...
"As a Citizen, it is part of our civic duty to make and maintain lists.","Como Ciudadana, una parte de tu deber cívico es confeccionar y mantener listas."
"As you command, master.","Como quieras, ama."
"Ask anything, Boss.","Pregunta lo que quieras, Jefa."
"Ask away, oh benefactor of mine.","Pregunta, oh, benefactora mía."
"Aw, c'mon... just tell me what I need to do to become a Citizen.","Oh, vamos... tan sólo dime lo que tengo que hacer para convertirme en Ciudadana."
"Away it is, Boss.","Bajada está, Jefa."
"Awright, that DOES it, smartass! You crossed the line...(Cracks knuckles.)...now yer gonna get hurt.","¡De acuerdo, se acabó, listilla! Has cruzado la línea… (cruje los nudillos)… esto te va a doler."
"Awright, the boss says you're coming along on a little TRANSACTION we're doing. Make sure you come
 armed...don't bring no pea-shooters...then come back and talk to me.","Vale, el jefe dice que nos vas a acompañar para cierta TRANSACCIÓN. Asegúrate de venir armada… y no te traigas un tirachinas… Luego vuelves y hablas conmigo."
Ay-me-go?,¿A-miga?
"Back again, huh? Well, what can we help you with, business partner?","Otra vez aquí, ¿eh? Bien, ¿Cómo podemos ayudarte, socia?"
"Back off, bub.","Déjame en paz, zorra."
"Back, are you stranger? So's the job done? Do we have access to the vault?","¿De vuelta, forastera? ¿El trabajo está hecho? ¿Tenemos el acceso al Refugio?"
"Backing away, Boss.","Detrás tuyo, Jefa."
Bastard! I'll sodomize you for that!,¡Zorra! ¡Te sodomizaré por eso!
"Be very, very careful.","Sé muy, muy cuidadosa."
"Beat it, Citizen.","Lárgate, Ciudadana."
"Beat it, bitch. Metzger wouldn't have sent a woman anyhow, so take a hike.","Lárgate, puta. Metzger de ninguna manera hubiera mandado a una mujer, así que vete a paseo."
"Beat it, retard. I ain't gonna be telling you again.","Piérdete, retrasada. No voy a volver a repetírtelo."
"Before you can truly be one of us, we must perform an initial zeta scan - an alignment. Are you prepared for your scan?","Antes de que seas realmente una de nosotros, debemos llevar a cabo un escaneo zeta inicial: un alineamiento. ¿Estás preparada para el escaneo?"
Below the belt! Son of a bitch...!,¡Un golpe bajo! ¡Hija de la gran puta...!
"Bend over and grab your ankles, bub!","¡Inclínate y sujétate los tobillos, pimpollita!"
Betrayer,Traidora
"Biggest little town in all the Wastes, friend.","La mayor pequeña ciudad del Yermo, amiga."
Bitch!,¡Puta!
Bloody peasant!,¡Maldita plebeya!
Bluffer. I think we'll see what the guards have to say about this.,Faroleadora. Creo que vamos a ver qué opinan los guardias sobre eso.
Boss! I think I'm finally getting the hang of this.,¡Jefa! Creo que por fin le he cogido el tranquillo a esto.
Boss! I'm not doing so well here.,¡Jefa! No me encuentro bien.
"Boss, I think I'm starting to like that stuff.","Jefa, creo que empieza a gustarme esto."
"Boss, I'm not going to miss this place.","Jefa, no voy a echar de menos este sitio."
"Boss, I'm really messed up. You got to get Lenny to check me out.","Jefa, estoy realmente jodido. Tienes que hacer que Lenny me eche un vistazo."
"Boss, Sulik's glaring at me again.","Jefa, Sulik está volviendo a mirarme."
"Boss, my head's not going to explode, is it?","Jefa, no me va a explotar la cabeza, ¿verdad?"
"Boy, I sure am sleepy. If only someone wouldn't keep talking to me.","Chica, de verdad que tengo sueño. Si tan sólo dejaras de hablar..."
"Boy, am I glad someone had the wisdom to give you all automatic weapons. Makes me feel safe. Later, Ramirez.","Amigo, me alegro que alguien tuviera la sabiduría de daros a todos vosotros armas automáticas. Me hace sentir segura. Hasta luego, Ramirez."
"Boy, am I thirsty.","Oh, chica, estoy sediento."
"Boy, are you stupid.","Chica, estás tonta."
"Boy, don't even try to explain this. I don't want to hear it. I'm gonna get the preacher, make
 this all lawful like, and you will leave and take my son with you when you go.","Chica, no intentes explicar esto. No quiero oírlo. Voy a llamar al predicador, vamos a hacer todo esto legalmente, y te llevarás a mi sobrino contigo cuando te vayas de aquí."
"Boy, you are a bleeder, aren't ya?","Chica, eres de esas que sangran mucho, ¿no es así?"
"Boys, get this glob of brahmin spit out of my office! Time for you to head on out, stranger.","¡Chicos, sacad a este montón de mierda de brahmin de mi oficina! Llegó tu hora de marcharte, forastera."
"Brother, I don't know NOTHING about your car. ","Hermana, no sé NADA sobre tu coche. "
"Brother, welcome to Vortis' hall. How can I help you?","Amiga, bienvenida a El Portal de Vortis. ¿En qué puedo ayudarte?"
Buffout Addiction,Adicta a los Esteroides
Buffout Reliance,Adicta a los esteroides
Bummer!,¡Alborotadora!
"Busy day, Citizen?","¿Un día ocupado, Ciudadana?"
But I AM a Citizen.,Pero yo SOY una Ciudadana.
But I am a Citizen.,Pero yo soy una Ciudadana.
But I'm a Citizen.,Pero soy Ciudadana.
But I'm famous!,Pero... ¡soy famoso
But I'm the descendant of the original Vault Dweller!,¡Pero soy la descendiente del Morador del Refugio original!
"But... uh, I am a Citizen. Don't you remember me?","Pero... eh, soy una Ciudadana. ¿No te acuerdas de mí?"
"Buy us all a round of drinks, newcomer.","Invítanos a una ronda, recién llegada."
By purging you of the negative psychic energy that keeps you in an oppressive state. Only then can you be Enlightened!,"Librándote de las neurodinas que te mantienen en un estado de opresión, con un alineamiento. ¡Sólo entonces puedes ser una Iluminada!"
"By the balls of the sky spirits, yes! I myself like to indulge in all THREE of those sins. ","¡Por las pelotas de los espíritus del cielo, sí! A mí misma me encanta disfrutar de ESOS TRES pecados. "
C'mon loser. Gimme a fight!,"Anda, perdedora. ¡Dame una pelea!"
"C'mon, boy, gimme just a few chips.","Vamos, chica, dame sólo unas pocas fichas."
"C'mon, friend, gimme just a few chips.","Vamos, amiga, dame sólo unas pocas fichas."
"Call me a coward, but I like breathing. I'll pass on this job.","Llámeme cobarde, pero me gusta seguir viva. Rechazaré ese trabajo."
"Call me stupid AGAIN, you little shit, and we'll see how well that 'helmet' protects you from a gaping head wound.","VUELVE a llamarme estúpida, mierdecilla, y veremos qué tal te protege ese 'casco' de los golpes en la cabeza."
Can I be a hero like you when I grow up?,¿Puedo ser un héroe como tú cuando me haga mayor?
"Can I help you, Citizen?","¿Puedo ayudarte, Ciudadana?"
"Can I put something else on, Boss? I'm a little worried.","¿Puedo ponerme otra cosa, Jefa? Estoy un poco preocupado."
Can you tell me where the Central Computer is?,¿Puedes decirme dónde está la computadora central?
"Can't chat, stranger. Name's Dorothy, city engineer, and that's Toto. Got to run.","No puedo hablar, forastera. Me llamo Dorothy, ingeniero de la ciudad, y este es Toto. Tengo que darme prisa."
"Can't park it here, bub.","No puedes pararte ahí, amiga."
Captain. Can I help you... sir?,Capitán. ¿Puedo ayudarle... señora?
"Care for a drink, hero?","¿Te apetece una copa, heroína?"
"Cease bothering me, you fool.","Deja de molestarme, tonta."
"Change of plans, Boss?","¿Cambio de planes, Jefa?"
Chem Reliant,Adicta a drogas
"Child of Nature, how could we put such a burden on your shoulders? (sigh) Your people have been taken.","Hija de la Naturaleza, ¿cómo pudieron poner semejante carga sobre tus hombros? (suspira) Tu gente ha sido raptada."
